symbol,status,n_common,len_new,len_snap,len_delta,close_max_bps,close_n_above_tol,vol_max_pct,vol_n_above_tol
AAPL,OK,2856,2856,2856,0,0.0,0,0.0,0
MSFT,OK,2855,2855,2855,0,0.0,0,0.0,0
GOOGL,OK,2854,2854,2854,0,0.0,0,0.0,0
AMZN,OK,2856,2856,2856,0,0.0,0,0.0,0
META,OK,1049,1049,1049,0,0.0,0,0.0,0
NVDA,OK,2855,2855,2855,0,0.0,0,0.0,0
TSLA,OK,2854,2854,2854,0,0.0,0,0.0,0
PWR,OK,2746,2746,2746,0,0.0,0,0.0,0
WMT,OK,2848,2848,2848,0,0.0,0,0.0,0
GILD,OK,2856,2856,2856,0,0.0,0,0.0,0
JNJ,OK,2854,2854,2854,0,0.0,0,0.0,0
VZ,OK,2849,2849,2849,0,0.0,0,0.0,0
OXY,OK,2837,2837,2837,0,0.0,0,0.0,0
GIS,OK,2843,2843,2843,0,0.0,0,0.0,0
WEC,OK,2831,2831,2831,0,0.0,0,0.0,0
EA,OK,2852,2852,2852,0,0.0,0,0.0,0
ED,OK,2823,2823,2823,0,0.0,0,0.0,0
DG,OK,2628,2628,2628,0,0.0,0,0.0,0
CLX,OK,2785,2785,2785,0,0.0,0,0.0,0
GS,OK,2851,2851,2851,0,0.0,0,0.0,0
MS,OK,2755,2755,2755,0,0.0,0,0.0,0
C,OK,2840,2840,2840,0,0.0,0,0.0,0
LRCX,OK,2817,2817,2817,0,0.0,0,0.0,0
KLAC,OK,2678,2678,2678,0,0.0,0,0.0,0
CAT,OK,2849,2849,2849,0,0.0,0,0.0,0
MU,OK,2855,2855,2855,0,0.0,0,0.0,0
AVGO,OK,2856,2856,2856,0,0.0,0,0.0,0
TER,OK,2830,2830,2830,0,0.0,0,0.0,0
TJX,OK,2754,2754,2754,0,0.0,0,0.0,0
TKO,OK,477,477,477,0,0.0,0,0.0,0
TRGP,OK,2723,2723,2723,0,0.0,0,0.0,0
TRV,OK,2788,2788,2788,0,0.0,0,0.0,0
TSN,OK,2818,2818,2818,0,0.0,0,0.0,0
TT,OK,1248,1248,1248,0,0.0,0,0.0,0
TXN,OK,2855,2855,2855,0,0.0,0,0.0,0
UNP,OK,2779,2779,2779,0,0.0,0,0.0,0
VICI,OK,2029,2029,2029,0,0.0,0,0.0,0
COST,OK,2856,2856,2856,0,0.0,0,0.0,0
AXP,OK,2657,2657,2657,0,0.0,0,0.0,0
BKNG,OK,494,494,494,0,0.0,0,0.0,0
APD,OK,2682,2682,2682,0,0.0,0,0.0,0
ABT,OK,2533,2533,2533,0,0.0,0,0.0,0
CMG,OK,1382,1382,1382,0,0.0,0,0.0,0
COP,OK,2855,2855,2855,0,0.0,0,0.0,0
UNH,OK,2811,2811,2811,0,0.0,0,0.0,0
LLY,OK,2467,2467,2467,0,0.0,0,0.0,0
ISRG,OK,2068,2068,2068,0,0.0,0,0.0,0
NEE,OK,2815,2815,2815,0,0.0,0,0.0,0
MCK,OK,2360,2360,2360,0,0.0,0,0.0,0
CME,OK,2850,2850,2850,0,0.0,0,0.0,0
TMO,OK,2697,2697,2697,0,0.0,0,0.0,0
A,OK,2767,2767,2767,0,0.0,0,0.0,0
ACGL,OK,2367,2367,2367,0,0.0,0,0.0,0
