,equity
2007-01-03,100000.0
2007-01-04,100000.0
2007-01-05,100000.0
2007-01-08,100000.0
2007-01-09,100000.0
2007-01-10,100000.0
2007-01-11,100000.0
2007-01-12,100000.0
2007-01-16,100000.0
2007-01-17,100000.0
2007-01-18,100000.0
2007-01-19,100000.0
2007-01-22,100000.0
2007-01-23,100000.0
2007-01-24,100000.0
2007-01-25,100000.0
2007-01-26,100000.0
2007-01-29,100000.0
2007-01-30,100000.0
2007-01-31,100000.0
2007-02-01,100000.0
2007-02-02,100000.0
2007-02-05,100000.0
2007-02-06,100000.0
2007-02-07,100000.0
2007-02-08,100000.0
2007-02-09,100000.0
2007-02-12,100000.0
2007-02-13,100000.0
2007-02-14,100000.0
2007-02-15,100000.0
2007-02-16,100000.0
2007-02-20,100000.0
2007-02-21,100000.0
2007-02-22,100000.0
2007-02-23,100000.0
2007-02-26,100000.0
2007-02-27,100000.0
2007-02-28,100000.0
2007-03-01,100000.0
2007-03-02,100000.0
2007-03-05,100000.0
2007-03-06,100000.0
2007-03-07,100000.0
2007-03-08,100000.0
2007-03-09,100000.0
2007-03-12,100000.0
2007-03-13,100000.0
2007-03-14,100000.0
2007-03-15,100000.0
2007-03-16,100000.0
2007-03-19,100000.0
2007-03-20,100000.0
2007-03-21,100000.0
2007-03-22,100000.0
2007-03-23,100000.0
2007-03-26,100000.0
2007-03-27,100000.0
2007-03-28,100000.0
2007-03-29,100000.0
2007-03-30,100000.0
2007-04-02,100000.0
2007-04-03,100000.0
2007-04-04,100000.0
2007-04-05,100000.0
2007-04-09,100000.0
2007-04-10,100000.0
2007-04-11,100000.0
2007-04-12,100000.0
2007-04-13,100000.0
2007-04-16,100000.0
2007-04-17,100000.0
2007-04-18,100000.0
2007-04-19,100000.0
2007-04-20,100000.0
2007-04-23,100000.0
2007-04-24,100000.0
2007-04-25,100000.0
2007-04-26,100000.0
2007-04-27,100000.0
2007-04-30,100000.0
2007-05-01,100000.0
2007-05-02,100000.0
2007-05-03,100000.0
2007-05-04,100000.0
2007-05-07,100000.0
2007-05-08,100000.0
2007-05-09,100000.0
2007-05-10,100000.0
2007-05-11,100000.0
2007-05-14,100000.0
2007-05-15,100000.0
2007-05-16,100000.0
2007-05-17,100000.0
2007-05-18,100000.0
2007-05-21,100000.0
2007-05-22,100000.0
2007-05-23,100000.0
2007-05-24,100000.0
2007-05-25,100000.0
2007-05-29,100000.0
2007-05-30,100000.0
2007-05-31,100000.0
2007-06-01,100000.0
2007-06-04,100000.0
2007-06-05,100000.0
2007-06-06,100000.0
2007-06-07,100000.0
2007-06-08,100000.0
2007-06-11,100000.0
2007-06-12,100000.0
2007-06-13,100000.0
2007-06-14,100000.0
2007-06-15,100000.0
2007-06-18,100000.0
2007-06-19,100000.0
2007-06-20,100000.0
2007-06-21,100000.0
2007-06-22,100000.0
2007-06-25,100000.0
2007-06-26,100000.0
2007-06-27,100000.0
2007-06-28,100000.0
2007-06-29,100000.0
2007-07-02,100000.0
2007-07-03,100000.0
2007-07-05,100000.0
2007-07-06,100000.0
2007-07-09,100000.0
2007-07-10,100000.0
2007-07-11,100000.0
2007-07-12,100000.0
2007-07-13,100000.0
2007-07-16,100000.0
2007-07-17,100000.0
2007-07-18,100000.0
2007-07-19,100000.0
2007-07-20,100000.0
2007-07-23,100000.0
2007-07-24,100000.0
2007-07-25,100000.0
2007-07-26,100000.0
2007-07-27,100000.0
2007-07-30,100000.0
2007-07-31,100000.0
2007-08-01,100000.0
2007-08-02,100000.0
2007-08-03,100000.0
2007-08-06,100000.0
2007-08-07,100000.0
2007-08-08,100000.0
2007-08-09,100000.0
2007-08-10,100000.0
2007-08-13,100000.0
2007-08-14,100000.0
2007-08-15,100000.0
2007-08-16,100000.0
2007-08-17,100000.0
2007-08-20,100000.0
2007-08-21,100000.0
2007-08-22,100000.0
2007-08-23,100000.0
2007-08-24,100000.0
2007-08-27,100000.0
2007-08-28,100000.0
2007-08-29,100000.0
2007-08-30,100000.0
2007-08-31,100000.0
2007-09-04,100000.0
2007-09-05,100000.0
2007-09-06,100000.0
2007-09-07,100000.0
2007-09-10,100000.0
2007-09-11,100000.0
2007-09-12,100000.0
2007-09-13,100000.0
2007-09-14,100000.0
2007-09-17,100000.0
2007-09-18,100000.0
2007-09-19,100000.0
2007-09-20,100000.0
2007-09-21,100000.0
2007-09-24,100000.0
2007-09-25,100000.0
2007-09-26,100000.0
2007-09-27,100000.0
2007-09-28,100000.0
2007-10-01,100000.0
2007-10-02,100000.0
2007-10-03,100000.0
2007-10-04,100000.0
2007-10-05,100000.0
2007-10-08,100000.0
2007-10-09,100000.0
2007-10-10,100000.0
2007-10-11,100000.0
2007-10-12,100000.0
2007-10-15,100000.0
2007-10-16,100000.0
2007-10-17,100000.0
2007-10-18,100000.0
2007-10-19,100000.0
2007-10-22,100000.0
2007-10-23,100000.0
2007-10-24,100000.0
2007-10-25,100000.0
2007-10-26,100000.0
2007-10-29,100000.0
2007-10-30,100000.0
2007-10-31,100000.0
2007-11-01,100000.0
2007-11-02,100000.0
2007-11-05,100000.0
2007-11-06,100000.0
2007-11-07,100000.0
2007-11-08,100000.0
2007-11-09,100000.0
2007-11-12,100000.0
2007-11-13,100000.0
2007-11-14,100000.0
2007-11-15,100000.0
2007-11-16,100000.0
2007-11-19,100000.0
2007-11-20,100000.0
2007-11-21,100000.0
2007-11-23,100000.0
2007-11-26,100000.0
2007-11-27,100000.0
2007-11-28,100000.0
2007-11-29,100000.0
2007-11-30,100000.0
2007-12-03,100000.0
2007-12-04,100000.0
2007-12-05,100000.0
2007-12-06,100000.0
2007-12-07,100000.0
2007-12-10,100000.0
2007-12-11,100000.0
2007-12-12,100000.0
2007-12-13,100000.0
2007-12-14,100000.0
2007-12-17,100000.0
2007-12-18,100000.0
2007-12-19,100000.0
2007-12-20,100000.0
2007-12-21,100000.0
2007-12-24,100000.0
2007-12-26,100000.0
2007-12-27,100000.0
2007-12-28,100000.0
2007-12-31,100000.0
2008-01-02,100000.0
2008-01-03,100000.0
2008-01-04,100000.0
2008-01-07,100000.0
2008-01-08,100000.0
2008-01-09,100000.0
2008-01-10,100000.0
2008-01-11,100000.0
2008-01-14,100000.0
2008-01-15,100000.0
2008-01-16,100000.0
2008-01-17,100000.0
2008-01-18,100000.0
2008-01-22,100000.0
2008-01-23,100000.0
2008-01-24,100000.0
2008-01-25,100000.0
2008-01-28,100000.0
2008-01-29,100000.0
2008-01-30,100000.0
2008-01-31,100000.0
2008-02-01,100000.0
2008-02-04,99987.51001231393
2008-02-05,99990.94523112496
2008-02-06,99993.23537699899
2008-02-07,99993.23537699899
2008-02-08,99993.23537699899
2008-02-11,99990.94523112496
2008-02-12,99990.94523112496
2008-02-13,99998.96186320504
2008-02-14,100001.25200907906
2008-02-15,100002.39708201608
2008-02-19,100000.10581462106
2008-02-20,100003.54103343209
2008-02-21,100006.97737376412
2008-02-22,100005.83230082711
2008-02-25,100005.83230082711
2008-02-26,100009.26751963815
2008-02-27,100012.70273844918
2008-02-28,100010.41259257516
2008-02-29,100012.70273844918
2008-03-03,100015.80150096139
2008-03-04,100018.0961329194
2008-03-05,100026.12846629342
2008-03-06,100033.01348368844
2008-03-07,100028.42309825143
2008-03-10,100036.45543162545
2008-03-11,100028.42309825143
2008-03-12,100037.60274760445
2008-03-13,100038.75006358346
2008-03-14,100043.34044902047
2008-03-17,100054.8147303315
2008-03-18,100057.11048381051
2008-03-19,100062.84706370553
2008-03-20,100065.14281718453
2008-03-24,100044.48776499947
2008-03-25,100043.34044902047
2008-03-26,100045.63508097848
2008-03-27,100051.3727823945
2008-03-28,100053.6685358735
2008-03-31,100052.5200983735
2008-04-01,100051.9458796235
2008-04-02,100049.6467615815
2008-04-03,100051.9458796235
2008-04-04,100053.0954386445
2008-04-07,100049.6467615815
2008-04-08,100054.24499766549
2008-04-09,100056.54411570748
2008-04-10,100063.44259135445
2008-04-11,100063.44259135445
2008-04-14,100063.44259135445
2008-04-15,100057.69479624947
2008-04-16,100062.29303233346
2008-04-17,100062.29303233346
2008-04-18,100057.69479624947
2008-04-21,100058.84323374947
2008-04-22,100062.29303233346
2008-04-23,100062.29303233346
2008-04-24,100062.29303233346
2008-04-25,100055.39455668649
2008-04-28,100056.54411570748
2008-04-29,100059.99391429147
2008-04-30,100063.44259135445
2008-05-01,100066.43593089303
2008-05-02,100061.83096568307
2008-05-05,100062.98164622506
2008-05-06,100059.52736155709
2008-05-07,100066.43593089303
2008-05-08,100067.58773295602
2008-05-09,100066.43593089303
2008-05-12,100062.98164622506
2008-05-13,100058.3766810151
2008-05-14,100058.3766810151
2008-05-15,100059.52736155709
2008-05-16,100065.28412883004
2008-05-19,100066.43593089303
2008-05-20,100066.43593089303
2008-05-21,100064.13344828805
2008-05-22,100065.28412883004
2008-05-23,100065.28412883004
2008-05-27,100066.43593089303
2008-05-28,100066.43593089303
2008-05-29,100066.43593089303
2008-05-30,100065.28412883004
2008-06-02,100069.43824259957
2008-06-03,100064.82805547252
2008-06-04,100062.61284551158
2008-06-05,100055.9703741981
2008-06-06,100059.33745488658
2008-06-09,100055.46854145853
2008-06-10,100058.06244404642
2008-06-11,100067.40527851907
2008-06-12,100060.76175434915
2008-06-13,100066.05496723978
2008-06-16,100066.05496723978
2008-06-17,100070.5886891636
2008-06-18,100080.41798909036
2008-06-19,100078.14663547571
2008-06-20,100078.97714084681
2008-06-23,100080.3274521261
2008-06-24,100085.72738498743
2008-06-25,100091.54060215052
2008-06-26,100094.23991245325
2008-06-27,100096.41941684778
2008-06-30,100096.52462619837
2008-07-01,100097.78593296107
2008-07-02,100099.13886875208
2008-07-03,100100.4918045431
2008-07-07,100100.07552951868
2008-07-08,100096.54319614466
2008-07-09,100105.07183689173
2008-07-10,100112.13650363978
2008-07-11,100116.0816482931
2008-07-14,100121.49076694544
2008-07-15,100107.96819856639
2008-07-16,100107.96819856639
2008-07-17,100107.96819856639
2008-07-18,100107.96819856639
2008-07-21,100078.60598240442
2008-07-22,100079.04079685755
2008-07-23,100087.05949650354
2008-07-24,100085.32585392542
2008-07-25,100088.57761631555
2008-07-28,100090.09426365442
2008-07-29,100088.57761631555
2008-07-30,100090.31208286829
2008-07-31,100097.89826450891
2008-08-01,100087.46235142298
2008-08-04,100089.19846592493
2008-08-05,100090.93293247766
2008-08-06,100088.98047123499
2008-08-07,100098.74741612024
2008-08-08,100095.49318180628
2008-08-11,100094.18716679163
2008-08-12,100092.02260075159
2008-08-13,100098.96376286096
2008-08-14,100098.74741612024
2008-08-15,100103.52401218958
2008-08-18,100092.23765049524
2008-08-19,100106.77971897669
2008-08-20,100115.90021763391
2008-08-21,100114.5948511178
2008-08-22,100116.32931767053
2008-08-25,100117.63550816126
2008-08-26,100119.36997471399
2008-08-27,100123.9302240426
2008-08-28,100122.4091592843
2008-08-29,100118.93940220423
2008-09-02,100122.24550114221
2008-09-03,100125.28910313196
2008-09-04,100128.33417759485
2008-09-05,100127.02604160852
2008-09-08,100123.98243961878
2008-09-09,100128.33417759485
2008-09-10,100103.26415647072
2008-09-11,100103.26415647072
2008-09-12,100103.26415647072
2008-09-15,100092.14674750764
2008-09-16,100069.9936654637
2008-09-17,100069.9936654637
2008-09-18,100069.9936654637
2008-09-19,100069.9936654637
2008-09-22,100069.9936654637
2008-09-23,100069.9936654637
2008-09-24,100069.9936654637
2008-09-25,100069.9936654637
2008-09-26,100069.9936654637
2008-09-29,100069.9936654637
2008-09-30,100069.9936654637
2008-10-01,100069.9936654637
2008-10-02,100069.9936654637
2008-10-03,100069.9936654637
2008-10-06,100069.9936654637
2008-10-07,100069.9936654637
2008-10-08,100069.9936654637
2008-10-09,100069.9936654637
2008-10-10,100069.9936654637
2008-10-13,100069.9936654637
2008-10-14,100069.9936654637
2008-10-15,100069.9936654637
2008-10-16,100069.9936654637
2008-10-17,100069.9936654637
2008-10-20,100069.9936654637
2008-10-21,100069.9936654637
2008-10-22,100069.9936654637
2008-10-23,100069.9936654637
2008-10-24,100069.9936654637
2008-10-27,100069.9936654637
2008-10-28,100069.9936654637
2008-10-29,100069.9936654637
2008-10-30,100069.9936654637
2008-10-31,100069.9936654637
2008-11-03,100069.9936654637
2008-11-04,100069.9936654637
2008-11-05,100069.9936654637
2008-11-06,100069.9936654637
2008-11-07,100069.9936654637
2008-11-10,100069.9936654637
2008-11-11,100069.9936654637
2008-11-12,100069.9936654637
2008-11-13,100069.9936654637
2008-11-14,100069.9936654637
2008-11-17,100069.9936654637
2008-11-18,100069.9936654637
2008-11-19,100069.9936654637
2008-11-20,100069.9936654637
2008-11-21,100069.9936654637
2008-11-24,100069.9936654637
2008-11-25,100069.9936654637
2008-11-26,100069.9936654637
2008-11-28,100069.9936654637
2008-12-01,100069.9936654637
2008-12-02,100069.9936654637
2008-12-03,100069.9936654637
2008-12-04,100069.9936654637
2008-12-05,100069.9936654637
2008-12-08,100069.9936654637
2008-12-09,100069.9936654637
2008-12-10,100069.9936654637
2008-12-11,100069.9936654637
2008-12-12,100069.9936654637
2008-12-15,100069.9936654637
2008-12-16,100069.9936654637
2008-12-17,100069.9936654637
2008-12-18,100069.9936654637
2008-12-19,100069.9936654637
2008-12-22,100069.9936654637
2008-12-23,100069.9936654637
2008-12-24,100069.9936654637
2008-12-26,100069.9936654637
2008-12-29,100069.9936654637
2008-12-30,100069.9936654637
2008-12-31,100069.9936654637
2009-01-02,100069.9936654637
2009-01-05,100069.9936654637
2009-01-06,100069.9936654637
2009-01-07,100069.9936654637
2009-01-08,100069.9936654637
2009-01-09,100069.9936654637
2009-01-12,100069.9936654637
2009-01-13,100069.9936654637
2009-01-14,100069.9936654637
2009-01-15,100069.9936654637
2009-01-16,100069.9936654637
2009-01-20,100069.9936654637
2009-01-21,100069.9936654637
2009-01-22,100069.9936654637
2009-01-23,100069.9936654637
2009-01-26,100069.9936654637
2009-01-27,100069.9936654637
2009-01-28,100069.9936654637
2009-01-29,100069.9936654637
2009-01-30,100069.9936654637
2009-02-02,100069.9936654637
2009-02-03,100069.9936654637
2009-02-04,100069.9936654637
2009-02-05,100069.9936654637
2009-02-06,100069.9936654637
2009-02-09,100069.9936654637
2009-02-10,100069.9936654637
2009-02-11,100069.9936654637
2009-02-12,100069.9936654637
2009-02-13,100069.9936654637
2009-02-17,100069.9936654637
2009-02-18,100069.9936654637
2009-02-19,100069.9936654637
2009-02-20,100069.9936654637
2009-02-23,100069.9936654637
2009-02-24,100069.9936654637
2009-02-25,100069.9936654637
2009-02-26,100069.9936654637
2009-02-27,100069.9936654637
2009-03-02,100069.9936654637
2009-03-03,100069.9936654637
2009-03-04,100069.9936654637
2009-03-05,100069.9936654637
2009-03-06,100069.9936654637
2009-03-09,100069.9936654637
2009-03-10,100069.9936654637
2009-03-11,100069.9936654637
2009-03-12,100069.9936654637
2009-03-13,100069.9936654637
2009-03-16,100069.9936654637
2009-03-17,100069.9936654637
2009-03-18,100069.9936654637
2009-03-19,100069.9936654637
2009-03-20,100069.9936654637
2009-03-23,100069.9936654637
2009-03-24,100069.9936654637
2009-03-25,100069.9936654637
2009-03-26,100069.9936654637
2009-03-27,100069.9936654637
2009-03-30,100069.9936654637
2009-03-31,100069.9936654637
2009-04-01,100069.9936654637
2009-04-02,100069.9936654637
2009-04-03,100069.9936654637
2009-04-06,100069.9936654637
2009-04-07,100069.9936654637
2009-04-08,100069.9936654637
2009-04-09,100069.9936654637
2009-04-13,100069.9936654637
2009-04-14,100069.9936654637
2009-04-15,100069.9936654637
2009-04-16,100069.9936654637
2009-04-17,100069.9936654637
2009-04-20,100069.9936654637
2009-04-21,100069.9936654637
2009-04-22,100069.9936654637
2009-04-23,100069.9936654637
2009-04-24,100069.9936654637
2009-04-27,100069.9936654637
2009-04-28,100069.9936654637
2009-04-29,100069.9936654637
2009-04-30,100069.9936654637
2009-05-01,100069.9936654637
2009-05-04,100069.9936654637
2009-05-05,100069.9936654637
2009-05-06,100069.9936654637
2009-05-07,100069.9936654637
2009-05-08,100069.9936654637
2009-05-11,100069.9936654637
2009-05-12,100069.9936654637
2009-05-13,100069.9936654637
2009-05-14,100069.9936654637
2009-05-15,100069.9936654637
2009-05-18,100069.9936654637
2009-05-19,100069.9936654637
2009-05-20,100069.9936654637
2009-05-21,100069.9936654637
2009-05-22,100069.9936654637
2009-05-26,100069.9936654637
2009-05-27,100069.9936654637
2009-05-28,100069.9936654637
2009-05-29,100069.9936654637
2009-06-01,100069.9936654637
2009-06-02,100069.9936654637
2009-06-03,100069.9936654637
2009-06-04,100069.9936654637
2009-06-05,100069.9936654637
2009-06-08,100069.9936654637
2009-06-09,100069.9936654637
2009-06-10,100069.9936654637
2009-06-11,100069.9936654637
2009-06-12,100069.9936654637
2009-06-15,100069.9936654637
2009-06-16,100069.9936654637
2009-06-17,100069.9936654637
2009-06-18,100069.9936654637
2009-06-19,100069.9936654637
2009-06-22,100069.9936654637
2009-06-23,100069.9936654637
2009-06-24,100069.9936654637
2009-06-25,100069.9936654637
2009-06-26,100069.9936654637
2009-06-29,100069.9936654637
2009-06-30,100069.9936654637
2009-07-01,100069.9936654637
2009-07-02,100069.9936654637
2009-07-06,100069.9936654637
2009-07-07,100069.9936654637
2009-07-08,100069.9936654637
2009-07-09,100069.9936654637
2009-07-10,100069.9936654637
2009-07-13,100069.9936654637
2009-07-14,100069.9936654637
2009-07-15,100069.9936654637
2009-07-16,100069.9936654637
2009-07-17,100069.9936654637
2009-07-20,100069.9936654637
2009-07-21,100069.9936654637
2009-07-22,100069.9936654637
2009-07-23,100069.9936654637
2009-07-24,100069.9936654637
2009-07-27,100069.9936654637
2009-07-28,100069.9936654637
2009-07-29,100069.9936654637
2009-07-30,100069.9936654637
2009-07-31,100069.9936654637
2009-08-03,100069.9936654637
2009-08-04,100069.9936654637
2009-08-05,100069.9936654637
2009-08-06,100069.9936654637
2009-08-07,100069.9936654637
2009-08-10,100069.9936654637
2009-08-11,100069.9936654637
2009-08-12,100069.9936654637
2009-08-13,100069.9936654637
2009-08-14,100069.9936654637
2009-08-17,100069.9936654637
2009-08-18,100069.9936654637
2009-08-19,100069.9936654637
2009-08-20,100069.9936654637
2009-08-21,100069.9936654637
2009-08-24,100069.9936654637
2009-08-25,100069.9936654637
2009-08-26,100053.77072255698
2009-08-27,100047.72653310385
2009-08-28,100051.44857900229
2009-08-31,100056.28439443198
2009-09-01,100039.1999522933
2009-09-02,100060.13696401205
2009-09-03,100060.13696401205
2009-09-04,100058.92858998862
2009-09-08,100055.30114858237
2009-09-09,100051.38757436362
2009-09-10,100051.4821788558
2009-09-11,100053.80548207846
2009-09-14,100050.17804067221
2009-09-15,100051.38757436362
2009-09-16,100050.17804067221
2009-09-17,100053.90124623862
2009-09-18,100051.38757436362
2009-09-21,100056.5095226058
2009-09-22,100051.38757436362
2009-09-23,100056.41491811362
2009-09-24,100029.27284699168
2009-09-25,100020.57046107177
2009-09-28,100021.57905177001
2009-09-29,100022.89077357177
2009-09-30,100025.51673487548
2009-10-01,100003.78546757944
2009-10-02,99979.88840938006
2009-10-05,99979.88840938006
2009-10-06,99983.22947383318
2009-10-07,99985.45756221209
2009-10-08,99984.3424499074
2009-10-09,99981.00138545428
2009-10-12,99981.00138545428
2009-10-13,99982.11542964373
2009-10-14,99982.11542964373
2009-10-15,99982.11542964373
2009-10-16,99982.11542964373
2009-10-19,99983.22947383318
2009-10-20,99983.22947383318
2009-10-21,99986.57160640154
2009-10-22,99987.685650591
2009-10-23,99985.45756221209
2009-10-26,99983.22947383318
2009-10-27,99986.57160640154
2009-10-28,99988.79862666522
2009-10-29,99987.685650591
2009-10-30,99986.57160640154
2009-11-02,99983.67487788592
2009-11-03,99973.3109310777
2009-11-04,99967.16506468366
2009-11-05,99957.94453781936
2009-11-06,99957.72272843216
2009-11-09,99959.73596543167
2009-11-10,99952.35243576858
2009-11-11,99937.38200859536
2009-11-12,99939.6318102311
2009-11-13,99944.13789085855
2009-11-16,99939.6318102311
2009-11-17,99948.64181236734
2009-11-18,99948.64181236734
2009-11-19,99946.38985161294
2009-11-20,99950.89377312173
2009-11-23,99937.38200859536
2009-11-24,99948.64181236734
2009-11-25,99948.64181236734
2009-11-27,99951.77423576821
2009-11-30,99949.52227501382
2009-12-01,99949.52227501382
2009-12-02,99939.63396934976
2009-12-03,99939.63396934976
2009-12-04,99952.64999107827
2009-12-07,99935.12788872232
2009-12-08,99939.63396934976
2009-12-09,99952.64999107827
2009-12-10,99935.12788872232
2009-12-11,99935.12788872232
2009-12-14,99929.74860100259
2009-12-15,99934.25468163003
2009-12-16,99939.63396934976
2009-12-17,99935.12788872232
2009-12-18,99937.37984947671
2009-12-21,99941.8837709855
2009-12-22,99941.8837709855
2009-12-23,99941.8837709855
2009-12-24,99942.76423363198
2009-12-28,99946.38985161294
2009-12-29,99946.11613945474
2009-12-30,99951.49797539224
2009-12-31,99954.62785057534
2010-01-04,99946.11613945474
2010-01-05,99906.4379331604
2010-01-06,99906.4379331604
2010-01-07,99906.4379331604
2010-01-08,99906.4379331604
2010-01-11,99906.4379331604
2010-01-12,99906.4379331604
2010-01-13,99912.4320737854
2010-01-14,99909.4350034729
2010-01-15,99909.4350034729
2010-01-19,99909.4350034729
2010-01-20,99909.4350034729
2010-01-21,99909.4350034729
2010-01-22,99909.4350034729
2010-01-25,99912.4320737854
2010-01-26,99912.4320737854
2010-01-27,99915.4291440979
2010-01-28,99912.4320737854
